date,balance,profit,A005380,A006800,A078930,A097950,A010950,A003490,A001040,A002380,A081660,A009450,A090430,A010130,A207940,A032640,A004370,A017810,A069960,A267250,A204480,A057050,A267270,A252670,A008770,A005930,A035420,A000660,A012330,A009150,A096770,A069500,A035720,A352820,A233740,A006400,A066570,A017670,A004170,A051910,A021240,A034220,A036570,A068270,A139480,A011210,A251340,A006260,A138930,A042700,A122630,A112610,A298000,A298020,A017390,A128820,A004980,A102460,A005850,A015020,A001430,A084010,A052690,A151860,A069330
2021-06-07,1014559.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_5330,,,,b_4_3925,,,,,
2021-06-08,1000114.0,0.0,,,,,,,,,b_5_54600,,,,,,,,,,,,b_1_56800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_x_320000,,,,s_x_13350,,,,,,,,
2021-06-09,1006647.0,0.0,,b_1_9880,,,,,,,,s_x_64700,,,,,,,,,,,,,,,,b_1_124000,,,,,,,,,,,,,,,,,,,,,b_5_7900,,,,,,,,,,,,,,b_1_55900,b_1_11000,
2021-06-10,1007221.0,2880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_x_4320,,,,s_x_12300,b_3_2245
2021-06-11,1001978.0,4000.0,,,,,,,,,,,,,,,,b_2_21150,,,,,,,,,,s_x_128000,,,,,,,,,,,,,b_1_78400,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,999143.0,0.0,,,,,,,,,,,,,,b_1_15400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_1_32750,,,s_x_21350,,,
2021-06-15,1003099.0,755.0,,,b_5_46950,,,,,,,,s_x_282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_x_5470,,b_1_39400,,,,,,,s_x_2450
2021-06-16,1019758.0,9050.0,,,s_x_48300,,,,b_2_108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_x_80700,,,,,,,b_1_69200,,b_1_33100,,,,,,,,,,,,,,,
2021-06-17,1026549.0,260.0,,,,,,,,,,,,,,,,,b_1_87700,,,s_x_91100,s_x_56000,,,b_1_80800,,,,,,,,,,,,,,,,,,,,,,,s_x_7830,s_x_33950,,,,,,b_4_5260,b_6_12550,,,s_x_4065,,,,,
2021-06-18,3017261.0,19700.0,,,b_1_47050,b_3_451000,b_2_100500,b_2_33150,s_x_111000,,s_x_55500,,,,,,,,,,,b_2_89000,,,,,,,,,,,,,,,,b_1_326000,,,,,,,,,,,b_4_7600,,,,,,,,,s_x_46350,s_x_35000,,b_8_30300,,,,
2021-06-21,2963359.0,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_2_43110,,,,,,,,,,,,,,,,,,,,,,,,s_x_5580,,,,,,b_2_21000,,,
2021-06-22,3033773.0,11800.0,,,,,s_x_105000,,b_1_107000,,,,,,,,,,,,,,,,b_1_96700,,,,,,,,,,,,,,,,,,,,,,,,,b_1_32800,,,,,,,,,,,,s_x_22400,,,
