date,time,open,high,low,close,volume,MV_close5,MV_open10
20201012,0,680000,692000,670000,672000,551057,,
20201013,0,675000,678000,640000,644000,678451,,
20201014,0,642000,644000,620000,628000,725349,,
20201015,0,636000,648000,629000,637000,531454,,
20201016,0,633000,643000,628000,640000,310579,644200.0,
20201019,0,642000,642000,614000,615000,473127,632800.0,
20201020,0,606000,626000,605000,621000,483397,628200.0,
20201021,0,624000,626000,614000,617000,241633,626000.0,
20201022,0,623000,642000,621000,639000,512433,626400.0,
20201023,0,646000,650000,633000,650000,405718,628400.0,640700.0
20201026,0,645000,650000,634000,646000,264208,634600.0,637200.0
20201027,0,633000,641000,627000,632000,261388,636800.0,633000.0
20201028,0,647000,647000,626000,642000,368105,641800.0,633500.0
20201029,0,629000,654000,629000,651000,386081,644200.0,632800.0
20201030,0,647000,648000,611000,611000,820454,636400.0,634200.0
20201102,0,609000,625000,588000,623000,505856,631800.0,630900.0
20201103,0,630000,659000,628000,656000,638480,636600.0,633300.0
20201104,0,662000,673000,645000,650000,472730,638200.0,637100.0
20201105,0,663000,677000,656000,677000,446583,643400.0,641100.0
20201106,0,688000,724000,686000,720000,1268197,665200.0,645300.0
20201109,0,739000,750000,722000,734000,601476,687400.0,654700.0
20201110,0,722000,733000,701000,702000,563688,696600.0,663600.0
20201111,0,708000,717000,685000,692000,528736,705000.0,669700.0
20201112,0,696000,710000,691000,692000,396873,708000.0,676400.0
20201113,0,688000,710000,680000,705000,388449,705000.0,680500.0
20201116,0,682000,691000,675000,677000,573360,693600.0,687800.0
20201117,0,678000,686000,675000,686000,331899,690400.0,692600.0
20201118,0,688000,709000,686000,709000,350805,693800.0,695200.0
20201119,0,712000,725000,709000,721000,356316,699600.0,700100.0
20201120,0,722000,731000,716000,724000,285042,703400.0,703500.0
20201123,0,739000,748000,735000,748000,466506,717600.0,703500.0
20201124,0,760000,799000,754000,799000,858347,740200.0,707300.0
20201125,0,820000,833000,784000,788000,780482,756000.0,718500.0
20201126,0,794000,821000,783000,816000,556575,775000.0,728300.0
20201127,0,807000,820000,798000,810000,390212,792200.0,740200.0
20201130,0,807000,813000,790000,800000,728920,802600.0,752700.0
20201201,0,808000,816000,794000,809000,404022,804600.0,765700.0
20201202,0,816000,849000,811000,841000,592081,815200.0,778500.0
20201203,0,839000,846000,827000,846000,372854,821200.0,791200.0
20201204,0,863000,863000,846000,846000,375662,828400.0,805300.0
20201207,0,832000,838000,807000,816000,498527,831600.0,814600.0
20201208,0,816000,830000,805000,811000,389335,832000.0,820200.0
20201209,0,820000,836000,807000,836000,392544,831000.0,820200.0
20201210,0,822000,833000,815000,817000,615054,825200.0,823000.0
20201211,0,825000,827000,808000,808000,363164,817600.0,824800.0
20201214,0,811000,811000,791000,793000,332473,813000.0,825200.0
20201215,0,802000,804000,794000,801000,300410,811000.0,824600.0
20201216,0,812000,822000,808000,819000,321381,807600.0,824200.0
20201217,0,823000,830000,811000,830000,319523,810200.0,822600.0
20201218,0,831000,832000,806000,814000,353819,811400.0,819400.0
20201221,0,819000,823000,809000,815000,284091,815800.0,818100.0
20201222,0,815000,816000,796000,797000,306523,815000.0,818000.0
20201223,0,802000,830000,777000,806000,594211,812400.0,816200.0
20201224,0,810000,822000,802000,818000,335065,810000.0,815000.0
20201228,0,818000,824000,807000,814000,264888,810000.0,814300.0
20201229,0,817000,827000,805000,813000,392849,809600.0,814900.0
