date,time,open,high,low,close,volume
20110103,0,393000,393500,387500,390500,220191
20110104,0,390000,395000,388000,395000,282205
20110105,0,395000,418000,393000,418000,650946
20110106,0,421000,423000,411500,418000,434804
20110107,0,416500,418000,411500,415500,275475
20110110,0,410500,412500,401000,407000,400875
20110111,0,410500,415500,406000,415500,270409
20110112,0,414500,425500,412500,419000,361736
20110113,0,418500,420000,411000,416000,294197
20110114,0,415000,425000,408000,422000,292651
20110117,0,421000,421500,412000,415000,238494
20110118,0,407000,416000,406000,412000,234125
20110119,0,409500,413500,405500,410000,242933
20110120,0,404000,409500,403500,403500,268903
20110121,0,401000,407500,391000,398500,380665
20110124,0,394000,404500,393000,398000,218784
20110125,0,400000,407000,399000,403000,268247
20110126,0,401000,410500,399500,409500,278941
20110127,0,408500,410500,401000,401000,263578
20110128,0,403000,411000,401000,408000,425918
20110131,0,404000,425000,404000,420000,713823
20110201,0,421500,423000,412000,412500,256793
20110207,0,416000,425000,409500,414000,334979
20110208,0,412000,415000,405000,407000,287759
20110209,0,403000,406000,386000,389500,512847
20110210,0,388000,388500,375500,379000,500347
20110211,0,379000,384000,366500,370000,393603
20110214,0,375000,384000,371000,382000,307260
20110215,0,383000,386500,376000,376000,256242
20110216,0,377000,383500,370000,370000,243833
20110217,0,373000,383500,372500,383000,354748
20110218,0,386500,394500,385000,392000,282484
20110221,0,393500,395000,385500,394000,180455
20110222,0,387000,389000,376500,380000,260328
20110223,0,375000,381000,373500,376000,208326
20110224,0,373000,379000,370000,371000,182243
20110225,0,369000,374000,369000,371500,187820
20110228,0,369500,377500,365000,372000,204603
20110302,0,364500,389000,364500,383500,318057
20110303,0,383500,388500,381000,388000,183974
20110304,0,388000,392500,381000,389000,270385
20110307,0,386000,389000,382000,386000,154562
20110308,0,384000,389500,384000,388000,187529
20110309,0,387000,399000,385000,399000,287185
20110310,0,400000,407000,398500,401000,346692
20110311,0,395000,397000,388500,388500,195717
20110314,0,401500,410000,391000,409500,434567
20110315,0,409000,415000,394500,407500,474394
20110316,0,413500,415000,405500,412500,244515
20110317,0,403000,420500,401500,418000,267185
20110318,0,414000,419000,411000,413000,234905
20110321,0,411000,415000,408000,415000,201042
20110322,0,417500,428000,417000,424000,388711
20110323,0,424000,431000,411000,418500,336163
20110324,0,417000,427000,416000,427000,208717
20110325,0,435000,435500,426000,431000,256725
20110328,0,429000,436500,425000,436500,201063
20110329,0,432000,445000,430500,443000,256878
20110330,0,443000,456500,442000,450000,407329
20110331,0,459000,460500,451500,460000,341587
20110401,0,455500,459000,451000,458000,251640
20110404,0,456000,457000,440500,446500,360981
20110405,0,442500,471000,442500,468500,255766
20110406,0,469000,481500,466000,477500,408525
20110407,0,480500,485000,469500,471000,308910
20110408,0,470500,483000,470000,479000,291815
20110411,0,475500,479500,474500,475500,201718
20110412,0,471000,473000,459000,460000,260700
20110413,0,460500,482000,453500,477500,255993
20110414,0,478500,499500,477500,497500,528693
20110415,0,496500,508000,489500,508000,286795
20110418,0,510000,522000,507000,513000,318021
20110419,0,510000,526000,505000,520000,342911
20110420,0,540000,553000,536000,549000,519526
20110421,0,549000,576000,542000,567000,514291
20110422,0,565000,583000,551000,559000,420987
20110425,0,559000,567000,548000,559000,262315
20110426,0,556000,569000,550000,554000,267389
20110427,0,553000,565000,520000,523000,550311
20110428,0,521000,534000,519000,523000,333278
20110429,0,522000,535000,513000,530000,331822
20110502,0,522000,541000,522000,540000,256748
20110503,0,536000,540000,515000,516000,303946
20110504,0,517000,518000,500000,502000,407952
20110506,0,496500,516000,480500,505000,411048
