date,time,open,high,low,close,volume
20180504,0,53000,53900,51800,51900,39565391
20180508,0,52600,53200,51900,52600,23104720
20180509,0,52600,52800,50900,50900,16128305
20180510,0,51700,51700,50600,51600,13905263
20180511,0,52000,52200,51200,51300,10314997
20180514,0,51000,51100,49900,50100,14909272
20180515,0,50200,50400,49100,49200,18709146
20180516,0,49200,50200,49150,49850,15918683
20180517,0,50300,50500,49400,49400,10365440
20180518,0,49900,49900,49350,49500,6706570
20180521,0,49650,50200,49100,50000,9020998
20180523,0,50600,52000,50400,51800,17095490
20180524,0,52000,52000,51100,51400,8289275
20180525,0,51000,52800,50800,52700,15207266
20180528,0,52500,53000,52000,52300,9787820
20180529,0,52200,52500,51300,51300,8480437
20180530,0,51300,51500,49100,49500,20498098
20180531,0,50400,50800,49850,50700,63491109
20180601,0,50500,51700,49950,51300,13038499
20180604,0,50800,51200,50700,51100,9767171
20180605,0,51100,51400,50400,51300,9144100
20180607,0,51800,51800,50500,50600,13590016
20180608,0,50200,50400,49600,49650,16951706
20180611,0,49750,50300,49350,49900,10571312
20180612,0,49700,49800,49250,49400,12110569
20180614,0,49000,49000,48200,48200,20971729
20180615,0,48500,48700,47650,47650,17080892
20180618,0,47600,47650,46200,46600,16661870
20180619,0,47200,47350,46500,47000,15217971
20180620,0,47450,47600,46850,47000,12959316
20180621,0,47900,47900,47050,47050,10015541
20180622,0,47000,47250,46200,47250,10298006
20180625,0,47050,47050,46150,46650,10587711
20180626,0,45900,47300,45900,47000,11223166
20180627,0,47450,48500,47000,47950,15274752
20180628,0,46850,47150,46600,46800,12784800
20180629,0,46250,47150,46200,46650,14099635
20180702,0,46500,47150,45500,45550,13112253
20180703,0,45750,46450,45750,46150,10959655
20180704,0,46700,47050,46050,46250,8776763
20180705,0,46100,46550,45600,45950,7039773
20180706,0,45500,45850,44650,44900,17843706
20180709,0,45500,46100,45200,45600,11602464
20180710,0,46200,46550,46100,46300,10528665
20180711,0,46400,46450,45400,46000,11224077
20180712,0,45900,46250,45450,45500,11828104
20180713,0,45800,46500,45750,46500,11543389
20180716,0,46800,46800,46000,46050,7678719
20180717,0,46150,46200,45600,45850,8892953
20180718,0,46700,47200,46450,46550,10952645
20180719,0,47050,47200,46600,46900,9880128
20180720,0,47000,47600,46700,47450,10474547
20180723,0,47100,47200,46150,46500,10823782
20180724,0,46350,46600,45950,46150,8261363
20180725,0,46250,46550,45900,46150,7222471
20180726,0,46100,47000,46000,46900,7374946
20180727,0,46450,47000,46450,46900,4762460
20180730,0,46550,46800,46350,46500,5723035
20180731,0,46200,46450,46000,46250,8033607
20180801,0,46050,46850,46050,46550,7484499
20180802,0,46550,46800,45500,45550,8560924
20180803,0,45850,45900,45450,45750,8274944
20180806,0,46150,46150,45750,45800,6771979
20180807,0,46300,46750,45900,46700,9058174
20180808,0,47000,47000,46550,46800,6429338
20180809,0,47000,47050,46450,46900,12010886
20180810,0,46150,46400,44850,45400,16670643
20180813,0,44950,45100,44650,45050,9803831
20180814,0,44850,45400,44850,45150,6409259
20180816,0,43800,44650,43700,44250,10088229
20180817,0,44050,44400,44050,44100,6808747
20180820,0,43500,44200,43500,43850,7289124
20180821,0,43700,44900,43700,44800,9520270
20180822,0,45150,46200,44900,46100,11641656
20180823,0,46150,46200,45700,46200,6730918
20180824,0,45900,46400,45550,46150,6582535
20180827,0,46100,46550,46000,46300,5263782
20180828,0,46800,46950,46300,46550,7365976
20180829,0,46750,46800,46400,46800,5572374
20180830,0,46950,47950,46700,47650,12193231
20180831,0,47100,48450,47000,48450,13577454
