date,time,open,high,low,close,volume
20210719,905,404500,405000,395500,402500,14751
20210719,910,401000,419000,400500,411000,12478
20210719,915,409500,410000,404000,404500,6041
20210719,920,404500,407000,402000,407000,2615
20210719,925,406500,414000,406500,412000,3703
20210719,930,412000,412500,407000,409000,1227
20210719,935,408500,410000,407500,408000,836
20210719,940,408000,412500,406000,406000,2859
20210719,945,406000,409000,406000,408000,1449
20210719,950,408000,410000,407500,408500,647
20210719,955,408500,409000,407500,407500,480
20210719,1000,407500,407500,406000,406500,656
20210719,1005,406500,407000,405500,406500,931
20210719,1010,406500,409000,406500,409000,590
20210719,1015,408500,410000,408000,409000,1192
20210719,1020,409000,409500,408500,409000,422
20210719,1025,408500,413500,408500,413000,2357
20210719,1030,413500,418500,413000,415000,3787
20210719,1035,415000,417500,414500,415000,3470
20210719,1040,415000,415500,414500,414500,1081
20210719,1045,414500,415000,414500,414500,1059
20210719,1050,414000,414000,409500,410000,1685
20210719,1055,410000,412000,410000,412000,1068
20210719,1100,412000,415000,411500,413500,582
20210719,1105,413500,413500,412000,412000,442
20210719,1110,412000,412000,409500,410500,561
20210719,1115,410500,411500,410500,411000,215
20210719,1120,411000,411500,410000,410000,288
20210719,1125,410000,411000,410000,410500,278
20210719,1130,410500,410500,408000,408500,1024
20210719,1135,408500,410500,408500,410500,249
20210719,1140,410500,410500,409000,409500,209
20210719,1145,409500,409500,409000,409500,259
20210719,1150,409500,410500,409500,410000,583
20210719,1155,410000,411000,409000,411000,416
20210719,1200,411000,412000,411000,412000,269
20210719,1205,411500,412500,411500,412500,108
20210719,1210,412500,413500,412000,413000,392
20210719,1215,413000,413500,412500,413000,332
20210719,1220,412000,413000,412000,412500,182
20210719,1225,412500,412500,411500,412000,196
20210719,1230,411500,413500,410500,411000,501
20210719,1235,411000,411500,410500,411500,340
20210719,1240,411500,412500,411500,412000,127
20210719,1245,412000,413000,412000,412500,272
20210719,1250,412500,412500,411500,411500,318
20210719,1255,411500,412000,411500,411500,79
20210719,1300,411500,412500,411500,412000,110
20210719,1305,412000,412000,411500,411500,91
20210719,1310,411500,412500,411500,411500,204
20210719,1315,411500,411500,410500,410500,721
20210719,1320,410500,410500,410000,410000,392
20210719,1325,410500,410500,410000,410000,480
20210719,1330,410000,410500,409500,410000,366
20210719,1335,409500,409500,408500,408500,746
20210719,1340,408500,409000,408000,409000,265
20210719,1345,409500,410000,409000,409500,149
20210719,1350,409500,410000,408500,408500,309
20210719,1355,408500,410000,408500,408500,321
20210719,1400,408500,408500,408000,408000,468
20210719,1405,408000,409000,407500,408000,572
20210719,1410,407500,408500,407500,408500,587
20210719,1415,408500,410500,408000,410500,457
20210719,1420,409500,410500,408500,409000,725
20210719,1425,409000,410500,409000,410500,197
20210719,1430,409500,410500,409500,409500,164
20210719,1435,409500,410000,409500,410000,133
20210719,1440,409500,410000,409500,409500,408
20210719,1445,409500,410000,409000,409000,192
20210719,1450,409000,409500,408000,408500,963
20210719,1455,408500,409000,407500,408000,1058
20210719,1500,408000,408500,407500,407500,411
20210719,1505,407500,408000,407000,408000,723
20210719,1510,408000,408500,407500,408000,513
20210719,1515,408500,409000,408000,408500,833
20210719,1520,408500,409000,408000,409000,1236
20210719,1530,410000,410000,410000,410000,1511
20210720,905,403000,412000,403000,410500,6214
20210720,910,410500,410500,405000,405500,3782
20210720,915,405000,406000,404000,406000,2089
20210720,920,406000,408000,405500,406000,852
20210720,925,406000,407000,405000,405000,854
20210720,930,405500,406000,405000,405000,1192
20210720,935,405000,405000,402500,402500,1939
20210720,940,402500,404000,401500,401500,2913
20210720,945,401000,401500,397500,399000,3928
20210720,950,399500,400000,396500,399000,2881
20210720,955,399000,399000,397000,397500,1158
20210720,1000,398000,399500,397500,398000,1773
20210720,1005,398000,402500,397000,402000,1952
20210720,1010,402000,402500,400000,401000,812
20210720,1015,401000,402000,400000,402000,739
20210720,1020,402000,405500,402000,405000,1059
20210720,1025,405000,405000,401500,402500,645
20210720,1030,402500,402500,400500,400500,981
20210720,1035,400500,401000,400000,401000,481
20210720,1040,401000,401500,400000,401000,265
20210720,1045,401000,401500,400500,401000,144
20210720,1050,401000,404000,401000,404000,679
20210720,1055,403500,405000,403000,403000,743
20210720,1100,403000,403500,401500,402000,327
20210720,1105,402500,403000,400500,400500,1374
20210720,1110,400500,402500,400500,400500,172
20210720,1115,401000,401000,400500,401000,153
20210720,1120,400500,401000,399500,400000,1220
20210720,1125,400000,401500,400000,401500,134
20210720,1130,400500,401500,400000,401500,442
20210720,1135,401500,402500,401000,401500,341
20210720,1140,401500,402000,400500,401500,263
20210720,1145,402000,402000,401500,401500,69
20210720,1150,401500,401500,401000,401500,77
20210720,1155,402000,402000,400500,401500,457
20210720,1200,401500,401500,401000,401000,546
20210720,1205,401000,401000,400500,400500,183
20210720,1210,400500,400500,400000,400000,375
20210720,1215,400000,400000,399000,400000,485
20210720,1220,400000,400500,399500,399500,283
20210720,1225,399500,399500,399000,399500,624
20210720,1230,400000,400500,399500,400500,221
20210720,1235,400500,400500,399000,399000,369
20210720,1240,399000,399500,397500,398000,2415
20210720,1245,398000,398500,398000,398500,550
20210720,1250,398500,399000,397000,399000,1376
20210720,1255,399000,399000,397500,397500,392
20210720,1300,397500,397500,396500,397000,903
20210720,1305,397000,397500,396500,397500,722
20210720,1310,397500,397500,396000,396000,1205
20210720,1315,396500,396500,395500,396000,1052
20210720,1320,396000,396000,394000,394000,3305
20210720,1325,394000,394000,390500,390500,3572
20210720,1330,390500,393000,386000,392000,4039
20210720,1335,392000,394500,391500,391500,1846
20210720,1340,393000,393000,388000,388000,1258
20210720,1345,389000,391000,388000,390500,844
20210720,1350,391000,392000,390500,392000,512
20210720,1355,392000,393000,391500,393000,393
20210720,1400,392500,393500,392500,393500,419
20210720,1405,393500,396000,393000,394500,911
20210720,1410,394500,395000,394500,394500,451
20210720,1415,395000,396500,394500,395500,501
20210720,1420,395500,396500,395000,396000,419
20210720,1425,396500,397000,396000,396000,308
20210720,1430,396000,396500,395500,395500,357
20210720,1435,395500,396000,395000,395500,527
20210720,1440,395500,395500,395000,395500,269
20210720,1445,395500,396000,395000,396000,350
20210720,1450,396000,396500,395500,396000,537
20210720,1455,396000,397000,396000,396500,305
20210720,1500,396500,397000,395500,396000,460
20210720,1505,396500,396500,395500,396000,477
20210720,1510,396500,396500,395000,395000,1025
20210720,1515,395500,395500,395000,395500,1549
20210720,1520,395500,396000,395000,395500,1313
20210720,1530,395000,395000,395000,395000,1806
